PLR_ID,PLR_NAME,GROESSE_M2,BEZ
10100210,Marzahner Promenade,882937.952,10,
9501736,Hirschgarten,2873068.172,9,
10100312,Springpfuhl,1210405.984,10,
12100205,Teichstraße,3374860.211,12,
1100102,Großer Tiergarten,3943375.966,1,
2200210,Urbanstraße,916800.234,2,
3701556,Kollwitzplatz,507067.779,3,
5300736,Zitadellenweg,2618966.462,5,
6200419,Thermometersiedlung,321216.339,6,
2400625,Wriezener Bahnhof,864393.136,2,
6300630,Hindenburgdamm,744828.036,6,
11300617,Fennpfuhlpark,474765.281,11,
7501029,Ringstraße,1441973.878,7,
9100101,Alt-Treptow,2314160.878,9,
4300623,Karl-August-Platz,582728.606,4,
5300737,Gartenfelder Straße,1041737.87,5,
6300524,Berlepschstraße,1745589.171,6,
1200623,Stephankiez,896475.72,1,
5200632,Tiefwerder,1564990.535,5,
4400835,Rüdesheimer Platz,600207.947,4,
10200627,Am Kienberg,533187.712,10,
2300418,Reichenberger Straße Ost,599764.15,2,
2500728,Samariterviertel,310608.043,2,
1200627,Zillesiedlung,174352.764,1,
5400945,Kafkastraße,1737233.19,5,
8200729,Britzer Garten,3152323.401,8,
2200207,Gleisdreieck,746225.338,2,
12200413,Tegel Süd,755164.495,12,
4500937,Halensee,709434.206,4,
3400830,Kissingenviertel,659319.939,3,
3500936,Komponistenviertel Weißensee,1119815.235,3,
10200420,Gut Hellersdorf,768070.915,10,
1200517,Huttenkiez,2484954.109,1,
4300619,Alt-Lietzow,536728.534,4,
6100205,Südende,850866.971,6,
4300624,Savignyplatz,534638.01,4,
10200419,Havelländer Ring,203550.57,10,
4200207,Eichkamp,17440826.47,4,
2200211,Chamissokiez,977101.699,2,
3601141,Arnimplatz,286789.929,3,
11401137,Erieseering,718030.243,11,
10100311,Marzahner Chaussee,3993423.949,10,
9100306,Späthsfelde,2722772.522,9,
3400724,Wolfshagener Straße,770100.486,3,
1200628,Lüneburger Straße,745610.394,1,
8401241,Blumenviertel,2120024.309,8,
4400726,Bismarckallee,1428438.058,4,
12400618,Heiligensee Nord,3247148.021,12,
11300618,Storkower Bogen,321189.597,11,
6100102,Schloßstraße,488811.665,6,
3701660,Bötzowstraße,570547.019,3,
1400941,Londoner Straße,450348.205,1,
8100313,Bouchéstraße,140057.883,8,
1100416,Arkonaplatz,602000.541,1,
1100313,Heine-Viertel Ost,718064.233,1,
12400721,Frohnau Ost,5090010.815,12,
1200519,Emdener Straße,347156.033,1,
3400721,Florakiez,794219.102,3,
2200209,Viktoriapark,693579.377,2,
5400944,Kladower Damm,4312179.525,5,
2500830,Niederbarnimstraße,165471.669,2,
7501031,Eisenacher Straße,1542267.734,7,
8301037,Gropiusstadt Süd-Ost,437939.506,8,
12601031,Lübarser Straße,1134119.154,12,
4400728,Hagenplatz,943658.249,4,
7200307,Bayerischer Platz,523935.318,7,
9501737,Alt-Friedrichshagen,11170398.98,9,
10200524,Adele-Sandrock-Straße,1111320.474,10,
3500932,Bühringstraße,992545.879,3,
7200413,Cheruskerstraße,797218.918,7,
2400520,Barnimkiez,941559.045,2,
2500836,Stralauer Halbinsel,1116993.913,2,
12500928,Waidmannslust,1731905.042,12,
5100210,Germersheimer Platz,544791.04,5,
8401246,Waltersdorfer Chaussee Ost,2245148.779,8,
3300515,Blankenburger Süden,1162742.094,3,
4500936,Droysenstraße,273545.336,4,
2300419,Wrangelkiez,526704.17,2,
8100208,Körnerpark,553852.128,8,
7100101,Wittenbergplatz,621002.31,7,
3500935,Behaimstraße,439055.07,3,
2200212,Graefekiez Süd,391146.547,2,
5200524,Döberitzer Weg,1660861.495,5,
3400826,Tiroler Viertel,658965.37,3,
1300836,Humboldthain Nordwest,1441436.944,1,
11100101,Dörfer Malchow-Wartenberg,8450640.742,11,
10300733,Alt-Biesdorf,2398113.275,10,
8100419,Treptower Straße Nord,430615.948,8,
5200633,Graetschelsteig,491044.917,5,
7601544,John-Locke-Straße,1123866.856,7,
6200423,Schütte-Lanz-Straße,1741827.825,6,
6300525,Zehlendorf Süd,1313473.565,6,
3501037,Rathaus Weißensee,1745019.881,3,
11401136,Volkradstraße,797319.282,11,
7501032,Imbrosweg,1232156.602,7,
9100203,Plänterwald Ost,2145011.963,9,
5300839,Rohrdamm,1217866.308,5,
9401432,Siedlung Kämmereiheide,938669.752,9,
5300735,Haveleck,1032879.049,5,
12601236,Schorfheidestraße,578276.162,12,
11300724,Roedeliusplatz,411272.412,11,
1100414,Nordbahnhof,373026.685,1,
9300923,Kölner Viertel,1566611.29,9,
2100101,Askanischer Platz,710730.18,2,
10400939,Alt-Mahlsdorf,1898860.343,10,
12400617,Alt-Heiligensee,5358291.836,12,
8200726,Hufeisensiedlung,988530.849,8,
7100102,Kalckreuthstraße,516600.183,7,
2400623,Andreasviertel,921717.463,2,
5400942,Alt-Gatow,11509680.04,5,
1100309,Oranienburger Straße,1011373.746,1,
6200313,Lankwitz Kirche,698873.673,6,
1300733,Gesundbrunnen,658286.291,1,
12200307,Reinickes Hof,532920.494,12,
4200309,Neu Westend,677508.402,4,
6100204,Munsterdamm,1115946.77,6,
1400939,Glasgower Straße,364628.689,1,
5100206,Griesingerstraße,1938153.127,5,
9301227,Karolinenhof,2356822.331,9,
6400842,Hüttenweg,2974967.042,6,
7300515,Taunusstraße,367064.158,7,
2500834,Revaler Straße,494573.77,2,
5200634,Börnicker Straße,3734108.559,5,
9401635,Müggelheim,22214559.98,9,
3601347,Helmholtzplatz,297839.94,3,
4300413,Klausenerplatz,478697.437,4,
6300629,Botanischer Garten,1416782.425,6,
8401245,Frauenviertel,471887.705,8,
7300618,Ceciliengärten,567656.424,7,
5100102,Am Forstacker,320904.583,5,
9301025,Alt-Bohnsdorf,5534318.435,9,
9200613,Bahnhof Schöneweide,1905365.32,9,
3100102,Klinikum Buch,2732305.923,3,
8100520,Weiße Siedlung,1120618.029,8,
6300527,Sundgauer Straße,979984.266,6,
10100104,Golliner Straße,885234.901,10,
9100202,Plänterwald West,854058.97,9,
7400824,Bosepark,636900.462,7,
7400822,Lindenhofsiedlung,1453428.626,7,
10100207,Ahrensfelder Berge,1099130.226,10,
9100305,Baumschulenweg Ost,496802.575,9,
11400930,Zachertstraße,404076.256,11,
7501133,Fritz-Werner-Straße,1756161.582,7,
9401431,Allende I,513546.383,9,
4400834,Binger Straße,423122.92,4,
6400839,Fischerhüttenstraße,1832730.063,6,
7400928,Germaniagarten,660309.401,7,
10200418,Kyritzer Straße,642564.559,10,
2500727,Forckenbeckplatz,338013.859,2,
11100206,Wartenberg Nord,659163.079,11,
3701659,Immanuelkirchstraße,416209.907,3,
11100203,Falkenberg Ost,909961.257,11,
11300619,Rudolf-Seiffert-Park,372623.718,11,
2300417,Reichenberger Straße West,369691.05,2,
2100103,Am Berlin Museum,413261.601,2,
9200512,Wuhlheide,4246764.664,9,
1100415,Invalidenstraße,780145.036,1,
11400931,Massower Straße,415395.107,11,
6200420,Lichterfelde Süd,1370724.921,6,
9300922,Kosmos Viertel,380869.074,9,
1300834,Brunnenstraße,774989.435,1,
8100103,Schillerpromenade Süd,479077.191,8,
7400721,Paradestraße,4281118.367,7,
4400725,Güterbahnhof Grunewald,543668.46,4,
5300841,Siemensdamm,268020.634,5,
7400927,Rathaus Tempelhof,3059291.42,7,
6200316,Belßstraße,671760.849,6,
3200205,Uhlandstraße,2411876.944,3,
11300826,Frankfurter Allee Süd,1053291.625,11,
4400729,Hundekehle,3754480.402,4,
5200423,Magistratsweg,640359.571,5,
2400624,Weberwiese,564671.677,2,
3701657,Thälmannpark,441343.324,3,
1300730,Drontheimer Straße,452951.105,1,
4501153,Babelsberger Straße,586111.81,4,
8100417,Braunschweiger Straße,412647.33,8,
4501043,Preußenpark,625790.463,4,
1200626,Thomasiusstraße,552841.838,1,
4300517,Tegeler Weg,519148.696,4,
8200622,Jahnstraße,667038.153,8,
3601346,Gethsemanekirche,193537.945,3,
9501940,Güterbahnhof Köpenick,596173.156,9,
10200628,Neue Grottkauer Straße,498608.53,10,
2300314,Oranienplatz,443939.153,2,
8100310,Maybachufer,254730.185,8,
4300414,Schloßstraße,562551.123,4,
6400841,Zehlendorf Eiche,1102137.543,6,
5100105,Amorbacher Weg,2202574.296,5,
7300619,Grazer Platz,2573774.394,7,
12200309,Scharnweberstraße,707704.668,12,
6200312,Komponistenviertel Lankwitz,1237842.731,6,
9300920,Dorf Altglienicke,4304670.517,9,
10100208,Bürgerpark,811083.749,10,
9200510,Helmholtz-Kiez,2330946.424,9,
11100308,Zingster Straße West,903489.486,11,
4501045,Schaperstraße,590815.934,4,
1400940,Schillerpark,917904.723,1,
6100207,Mittelstraße,679687.835,6,
3100103,Karower Chaussee,1875386.595,3,
8100102,Schillerpromenade Nord,589643.475,8,
1100310,Alexanderplatzviertel,1365216.178,1,
2500833,Boxhagener Platz,340147.924,2,
11300723,Bornitzstraße,497936.967,11,
11501339,Karlshorst West,994186.449,11,
3300514,Blankenburg,4719969.861,3,
3601453,Alter Schlachthof,577288.26,3,
12500930,Wittenau Mitte,1613716.435,12,
12200310,Klixstraße,819510.933,12,
4501147,Leon-Jessel-Platz,248608.958,4,
8200832,Buckow Mitte,2032572.845,8,
9100304,Baumschulenweg West,1613826.884,9,
12400616,Konradshöhe/Tegelort,2336407.792,12,
8100207,Rollberg,371774.258,8,
10100206,Wuhletalstraße,845789.678,10,
4500939,Eisenzahnstraße,757142.69,4,
10200421,Helle Mitte,163851.514,10,
4200204,Angerburger Allee,361436.949,4,
7100205,Alvenslebenstraße,317584.653,7,
7601236,Marienfelder Allee Nordwest,1147177.253,7,
3601140,Malmöer Straße,280593.845,3,
3400620,Schönholz,1909837.667,3,
8401138,Goldhähnchenweg,133642.042,8,
1100206,Unter den Linden,1297109.673,1,
3200310,Krugpfuhl,2267490.053,3,
9200614,Oberspree,1072394.942,9,
1200629,Hansaviertel,534709.38,1,
1100308,Charitéviertel,1682606.662,1,
8200624,Tempelhofer Weg,1189601.201,8,
5100314,Kurstraße,475094.232,5,
11200515,Weiße Taube,1033881.811,11,
4300412,Schlossgarten,1261028.946,4,
6200418,Landweg,1105430.596,6,
11401034,Tierpark,1733231.062,11,
12500825,Borsigwalde,1849143.867,12,
6300633,Augustaplatz,1667886.653,6,
1100205,Wilhelmstraße,634642.165,1,
2100105,Prinzenstraße,423358.266,2,
8100521,Schulenburgpark,2197546.314,8,
5300838,Gartenfeld,934726.135,5,
9401330,Wendenschloß,964266.27,9,
3200309,Eddastraße,3067550.203,3,
9100408,Johannisthal Ost,766677.209,9,
4100101,Jungfernheide/Plötzensee,5250473.344,4,
3601142,Falkplatz,907509.179,3,
3400831,Pankower Tor,534831.009,3,
5100209,Westerwaldstraße,747050.619,5,
2200213,Graefekiez Nord,592499.911,2,
3400723,Garbátyplatz,607995.223,3,
8100418,Hertzbergplatz,640246.503,8,
10300732,Buckower Ring,2059672.622,10,
1300731,Koloniestraße,666927.388,1,
6100103,Markelstraße,461305.073,6,
2400522,Richard-Sorge-Viertel,554538.617,2,
11300722,Rathaus Lichtenberg,889744.454,11,
1200624,Heidestraße,687993.491,1,
10300731,Oberfeldstraße,2741494.88,10,
2100106,Wassertorplatz,388951.28,2,
4200205,Flatowallee,977771.372,4,
9100409,Landschaftspark Adlershof,2988017.977,9,
6200317,Lankwitz Süd,1481592.997,6,
4501146,Barstraße,668496.932,4,
8100206,Flughafenstraße,421628.391,8,
3400828,Spiekermann Straße,364480.397,3,
5100316,Carl-Schurz-Straße,1377524.418,5,
11401033,Gensinger Straße,453276.055,11,
11401135,Dolgenseestraße,699967.556,11,
4501041,George-Grosz-Platz,464758.366,4,
4300415,Lietzensee,633131.4,4,
7601238,Marienfelde Nordost,1985005.113,7,
2400521,Friedenstraße,731459.521,2,
7300517,Perelsplatz,636676.693,7,
6200311,Alt-Lankwitz,993752.851,6,
12100103,Breitkopfbecken,720518.32,12,
10100313,Alt-Marzahn,1098916.273,10,
7200411,Julius-Leber-Brücke,135104.957,7,
4501149,Nikolsburger Platz,441478.723,4,
3701555,Sredzkistraße,314592.029,3,
9502043,Dammheide,4774864.972,9,
5200422,Werkstraße,1187909.516,5,
4501040,Hindemithplatz,303195.68,4,
9502042,Mittelheide,3196164.766,9,
11100204,Falkenberg West,776048.199,11,
3400827,Trelleborger Viertel,413274.686,3,
2100102,Mehringplatz,624461.329,2,
8100105,Silbersteinstraße,463906.1,8,
7601341,Diedersdorfer Weg,3913431.257,7,
8200623,Park am Buschkrug,1179315.735,8,
6200422,Oberhofer Platz,1367505.195,6,
11400927,Victoriastadt,374092.568,11,
2500729,Pettenkofer Straße,322475.261,2,
1200625,Lübecker Straße,325102.799,1,
9200511,Griechischer Park,1358629.737,9,
10400940,Elsensee,3163866.811,10,
12500824,Ziekowstraße/Freie Scholle,2227998.67,12,
6400737,Nikolassee,16490237.83,6,
9200715,Wista,2671176.226,9,
8200728,Ortolanweg,1186449.651,8,
8401243,Alt-Rudow,2508146.136,8,
2200208,Rathaus Yorckstraße,428884.992,2,
8300935,Gropiusstadt Süd-West,677332.441,8,
8200727,Parchimer Allee Süd,1156772.864,8,
1401043,Antonstraße,298918.993,1,
12100206,Humboldtstraße,759312.269,12,
11300620,Fennpfuhl Ost,556757.31,11,
1100311,Karl-Marx-Allee,807957.752,1,
12100101,Letteplatz,780562.753,12,
4501042,Breitscheidplatz,603711.632,4,
1100101,Stülerstraße,366928.828,1,
3300413,Karow Ost,1864269.616,3,
9200716,Dörpfeldstraße West,947773.086,9,
8200730,Handwerker-Siedlung,1376447.005,8,
1401048,Leopoldplatz,408306.36,1,
3400619,Wilhelmsruh,2169591.462,3,
12500927,Wittenau Nord,2494674.422,12,
3200204,Blankenfelde,13067860.48,3,
10400941,Pilgramer Straße,3690997.15,10,
8100101,Hasenheide,866353.168,8,
11300616,Hohenschönhausener Straße,416963.688,11,
