THEFT_ID,ART_DES_FAHRRADS,SCHADENSHOEHE,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR
32,Herrenfahrrad,829,08.06.2023,17,09.06.2023,7,2100103
33,Herrenfahrrad,300,31.05.2023,16,31.05.2023,18,7100102
34,Damenfahrrad,550,03.06.2023,10,04.06.2023,11,11300617
35,Herrenfahrrad,1049,08.06.2023,17,09.06.2023,2,6100209
36,Herrenfahrrad,0,08.06.2023,22,09.06.2023,7,7300618
37,Kinderfahrrad,210,03.06.2023,19,04.06.2023,9,12100101
38,diverse Fahrräder,0,09.06.2023,0,09.06.2023,0,1300733
39,Herrenfahrrad,1010,08.06.2023,1,08.06.2023,6,8200833
40,Damenfahrrad,1150,08.06.2023,21,09.06.2023,10,2200213
41,Herrenfahrrad,999,05.06.2023,17,08.06.2023,17,6100205
42,Herrenfahrrad,298,08.06.2023,15,09.06.2023,10,11200513
43,Herrenfahrrad,2400,06.06.2023,14,06.06.2023,15,1300836
44,Mountainbike,2000,09.06.2023,15,09.06.2023,15,9501939
45,Damenfahrrad,578,06.06.2023,9,06.06.2023,20,4300623
46,Fahrrad,270,08.06.2023,19,08.06.2023,22,6300634
47,Damenfahrrad,100,07.06.2023,18,08.06.2023,7,3400725
48,Damenfahrrad,790,08.06.2023,22,09.06.2023,2,2300419
49,Damenfahrrad,2400,08.06.2023,17,09.06.2023,10,6200420
50,Mountainbike,1290,26.05.2023,12,26.05.2023,16,9200715
51,Herrenfahrrad,0,08.06.2023,21,09.06.2023,8,3701659
52,Mountainbike,884,08.06.2023,22,09.06.2023,7,9200511
53,Damenfahrrad,2000,09.06.2023,14,09.06.2023,17,5300735
54,Kinderfahrrad,853,05.06.2023,17,06.06.2023,7,2200209
55,Herrenfahrrad,600,06.06.2023,9,06.06.2023,18,2500834
56,Fahrrad,1700,13.05.2023,22,14.05.2023,8,8100208
57,Damenfahrrad,750,07.06.2023,8,07.06.2023,19,1100309
58,Herrenfahrrad,750,07.06.2023,11,07.06.2023,13,2100106
59,Damenfahrrad,199,08.06.2023,8,08.06.2023,10,1100416
60,Damenfahrrad,2600,07.06.2023,12,07.06.2023,23,6300526
61,Damenfahrrad,2849,07.06.2023,18,07.06.2023,22,4300621
62,Kinderfahrrad,200,08.06.2023,9,08.06.2023,14,8100208
63,Damenfahrrad,51,05.05.2023,9,05.05.2023,17,1200625
64,Mountainbike,4500,08.06.2023,10,08.06.2023,19,3501038
65,Damenfahrrad,400,07.06.2023,17,08.06.2023,17,11400929
66,Kinderfahrrad,350,07.06.2023,8,08.06.2023,7,1200519
67,Herrenfahrrad,1110,07.06.2023,16,08.06.2023,7,3701555
68,Damenfahrrad,629,09.06.2023,4,09.06.2023,4,3200206
69,Herrenfahrrad,2000,07.06.2023,18,07.06.2023,23,2300419
70,Damenfahrrad,948,06.06.2023,16,07.06.2023,6,3601142
71,Herrenfahrrad,653,06.06.2023,16,06.06.2023,19,10200423
72,Damenfahrrad,180,07.06.2023,21,08.06.2023,20,1300732
73,Herrenfahrrad,1000,07.06.2023,19,08.06.2023,7,2400624
74,Fahrrad,450,07.06.2023,0,08.06.2023,6,8401243
75,Fahrrad,1200,06.06.2023,18,06.06.2023,18,8100102
76,Damenfahrrad,749,07.06.2023,18,07.06.2023,23,6400737
77,Kinderfahrrad,700,08.06.2023,8,08.06.2023,9,6300633
78,Damenfahrrad,1713,08.06.2023,6,08.06.2023,12,7200308
79,Damenfahrrad,499,06.06.2023,16,07.06.2023,6,3601142
80,Damenfahrrad,520,07.06.2023,19,08.06.2023,8,3601453
81,Herrenfahrrad,1799,07.06.2023,19,08.06.2023,1,2500835
82,Damenfahrrad,422,06.06.2023,7,07.06.2023,18,6100205
83,Herrenfahrrad,350,02.06.2023,7,02.06.2023,17,11401032
84,Damenfahrrad,860,06.06.2023,18,06.06.2023,22,8100312
85,Herrenfahrrad,770,05.06.2023,21,05.06.2023,21,1300836
86,Damenfahrrad,1277,05.06.2023,13,05.06.2023,17,4501153
87,Herrenfahrrad,799,26.05.2023,18,29.05.2023,9,3601245
88,Herrenfahrrad,1500,07.06.2023,17,07.06.2023,22,11501341
89,Damenfahrrad,400,06.06.2023,18,08.06.2023,7,1100312
90,Mountainbike,160,07.06.2023,21,08.06.2023,9,1400942
91,diverse Fahrräder,3000,06.06.2023,20,08.06.2023,14,3601346
92,Mountainbike,700,08.06.2023,15,08.06.2023,17,8100206
93,Herrenfahrrad,1027,07.06.2023,21,08.06.2023,8,2200211
94,Mountainbike,0,08.06.2023,6,08.06.2023,6,1400939
95,Herrenfahrrad,1800,08.06.2023,10,08.06.2023,12,7200411
96,Damenfahrrad,791,07.06.2023,19,08.06.2023,9,2500835
97,Herrenfahrrad,850,08.06.2023,16,08.06.2023,21,6200313
98,Kinderfahrrad,369,05.06.2023,16,08.06.2023,10,2200209
99,Kinderfahrrad,450,08.06.2023,16,08.06.2023,18,2100106
100,Kinderfahrrad,410,21.05.2023,17,22.05.2023,15,4501153
101,Herrenfahrrad,1000,08.06.2023,7,08.06.2023,9,1401048
102,Herrenfahrrad,300,07.06.2023,9,07.06.2023,19,8100206
103,Fahrrad,3599,08.06.2023,13,08.06.2023,16,11200512
104,Fahrrad,349,06.06.2023,7,06.06.2023,20,9200716
105,Herrenfahrrad,1600,08.06.2023,16,08.06.2023,16,1401044
106,Herrenfahrrad,200,07.06.2023,22,08.06.2023,5,9200511
107,Herrenfahrrad,1199,31.05.2023,18,01.06.2023,23,7100206
108,Fahrrad,620,08.06.2023,10,08.06.2023,20,4501040
109,Mountainbike,1800,06.06.2023,18,06.06.2023,18,11400929
110,Damenfahrrad,499,07.06.2023,20,08.06.2023,7,9300920
111,Lastenfahrrad,4100,07.06.2023,16,08.06.2023,7,3501037
112,Herrenfahrrad,999,04.06.2023,21,05.06.2023,11,4300623
113,Herrenfahrrad,750,07.06.2023,21,07.06.2023,21,9300922
114,Damenfahrrad,150,06.06.2023,11,08.06.2023,8,4500938
115,Herrenfahrrad,2290,07.06.2023,20,08.06.2023,16,1401047
116,Damenfahrrad,394,08.06.2023,10,08.06.2023,15,9301126
117,Lastenfahrrad,10000,23.04.2023,12,23.04.2023,12,2100104
118,Damenfahrrad,934,07.06.2023,16,07.06.2023,17,8100207
119,Fahrrad,1874,24.05.2023,10,24.05.2023,17,1100206
120,Herrenfahrrad,4228,07.05.2023,19,08.05.2023,1,2200212
121,Herrenfahrrad,199,08.06.2023,8,08.06.2023,10,1100416
122,Damenfahrrad,2018,08.06.2023,9,08.06.2023,13,2500835
123,Herrenfahrrad,650,07.06.2023,9,08.06.2023,8,1100416
124,Damenfahrrad,578,07.06.2023,23,08.06.2023,11,4501045
125,Herrenfahrrad,550,03.06.2023,4,05.06.2023,14,3400827
126,Damenfahrrad,769,05.06.2023,17,06.06.2023,8,10200627
127,Fahrrad,1750,08.06.2023,9,08.06.2023,14,1100308
128,diverse Fahrräder,7400,08.06.2023,14,08.06.2023,14,1300836
129,Herrenfahrrad,699,07.06.2023,20,08.06.2023,7,4300415
130,Damenfahrrad,860,06.06.2023,19,07.06.2023,7,3400826
131,Herrenfahrrad,1000,06.06.2023,12,06.06.2023,15,6400735
132,Fahrrad,300,03.06.2023,21,04.06.2023,18,7601236
133,Mountainbike,5800,06.06.2023,14,06.06.2023,16,4400830
134,Damenfahrrad,599,05.06.2023,21,07.06.2023,20,12500927
135,Herrenfahrrad,300,24.05.2023,18,25.05.2023,8,8100101
136,Herrenfahrrad,712,06.06.2023,13,06.06.2023,17,12500928
137,Fahrrad,840,04.06.2023,20,05.06.2023,15,8200623
138,Damenfahrrad,479,05.06.2023,10,06.06.2023,12,3400722
139,Damenfahrrad,3322,06.06.2023,19,06.06.2023,22,6200422
140,Fahrrad,5474,07.06.2023,8,07.06.2023,10,6300634
141,Herrenfahrrad,788,04.06.2023,15,06.06.2023,18,4200204
142,Herrenfahrrad,1600,31.05.2023,9,31.05.2023,17,6400737
143,Fahrrad,850,06.06.2023,20,07.06.2023,8,7200413
144,Herrenfahrrad,500,07.06.2023,14,07.06.2023,14,3601450
145,diverse Fahrräder,8000,06.06.2023,18,07.06.2023,18,8100416
146,Fahrrad,738,07.06.2023,18,07.06.2023,19,3601243
147,Herrenfahrrad,250,05.06.2023,21,07.06.2023,20,12500927
148,Fahrrad,1014,06.06.2023,18,07.06.2023,16,11300722
149,Mountainbike,549,01.06.2023,16,02.06.2023,10,9501939
150,Damenfahrrad,398,04.06.2023,9,06.06.2023,15,1400940
151,Herrenfahrrad,2639,05.06.2023,16,06.06.2023,17,5100316
152,Rennrad,0,07.06.2023,8,07.06.2023,8,4500938
153,Fahrrad,0,06.06.2023,0,06.06.2023,0,8100314
154,Herrenfahrrad,1179,05.06.2023,15,07.06.2023,10,7200409
155,Herrenfahrrad,999,06.06.2023,15,07.06.2023,0,12400720
156,Damenfahrrad,789,05.06.2023,23,06.06.2023,9,8100312
157,Rennrad,3799,06.06.2023,12,06.06.2023,19,6400844
158,Herrenfahrrad,800,24.05.2023,23,25.05.2023,9,6100102
159,Herrenfahrrad,1500,24.05.2023,18,25.05.2023,8,4400832
160,Damenfahrrad,0,07.06.2023,10,07.06.2023,14,1100415
161,Damenfahrrad,333,03.06.2023,18,04.06.2023,16,4501147
162,Damenfahrrad,1440,06.06.2023,18,06.06.2023,22,7100103
163,Herrenfahrrad,1399,05.06.2023,8,05.06.2023,20,9200613
164,Damenfahrrad,1126,09.05.2023,23,10.05.2023,8,1300834
165,Damenfahrrad,398,05.06.2023,17,07.06.2023,12,2500835
166,Herrenfahrrad,1250,06.06.2023,0,06.06.2023,0,6100210
167,Damenfahrrad,100,05.06.2023,13,05.06.2023,21,1300731
168,Herrenfahrrad,1300,07.06.2023,4,07.06.2023,4,3300413
169,Herrenfahrrad,500,06.06.2023,1,06.06.2023,11,10100209
170,Kinderfahrrad,675,07.06.2023,18,07.06.2023,19,2200210
171,Herrenfahrrad,699,06.06.2023,13,06.06.2023,22,5100313
172,Fahrrad,649,31.05.2023,12,02.06.2023,16,12400617
173,Lastenfahrrad,10000,28.05.2023,17,28.05.2023,17,1100309
174,Herrenfahrrad,650,06.06.2023,17,07.06.2023,14,8100419
175,Herrenfahrrad,789,06.06.2023,13,07.06.2023,15,2200209
176,Herrenfahrrad,299,06.06.2023,18,07.06.2023,9,1401048
177,Herrenfahrrad,1099,06.06.2023,20,07.06.2023,17,2400623
178,Herrenfahrrad,985,06.06.2023,8,06.06.2023,20,3601450
179,Fahrrad,3243,07.06.2023,8,07.06.2023,17,1100308
180,Herrenfahrrad,2099,06.06.2023,13,06.06.2023,19,2400521
181,Damenfahrrad,600,06.06.2023,22,07.06.2023,7,12200308
182,Damenfahrrad,1027,24.05.2023,15,25.05.2023,9,9100203
183,Damenfahrrad,2039,06.06.2023,20,07.06.2023,9,7200413
184,Herrenfahrrad,1200,06.06.2023,9,06.06.2023,13,12500927
185,Damenfahrrad,800,06.06.2023,22,07.06.2023,13,8100419
186,Fahrrad,700,06.06.2023,0,06.06.2023,19,8100418
187,Mountainbike,600,04.06.2023,20,06.06.2023,18,6100205
188,Herrenfahrrad,900,03.06.2023,9,03.06.2023,14,2200207
189,Damenfahrrad,350,27.05.2023,13,28.05.2023,12,3400721
190,Damenfahrrad,329,06.06.2023,8,06.06.2023,15,7601238
191,Herrenfahrrad,773,06.06.2023,15,07.06.2023,9,1100312
192,Fahrrad,100,07.06.2023,3,07.06.2023,3,2300419
193,Mountainbike,611,06.06.2023,18,07.06.2023,12,1100414
194,Herrenfahrrad,820,03.06.2023,16,04.06.2023,2,8200727
195,Herrenfahrrad,1360,07.06.2023,8,07.06.2023,11,1100308
196,Herrenfahrrad,1765,06.06.2023,22,07.06.2023,9,7200413
197,Herrenfahrrad,4059,07.06.2023,14,07.06.2023,18,6100204
198,Damenfahrrad,273,24.05.2023,8,24.05.2023,15,10100313
199,Damenfahrrad,580,05.06.2023,23,06.06.2023,10,9100101
200,Damenfahrrad,300,05.06.2023,12,05.06.2023,12,2100106
201,Rennrad,0,07.06.2023,1,07.06.2023,1,7200410
202,Herrenfahrrad,2199,06.06.2023,12,06.06.2023,16,3601243
203,Herrenfahrrad,899,06.06.2023,16,06.06.2023,19,1100414
204,Damenfahrrad,1030,06.06.2023,21,07.06.2023,6,7100102
205,Fahrrad,200,07.06.2023,4,07.06.2023,4,1100206
206,Damenfahrrad,640,05.06.2023,6,05.06.2023,14,6400840
207,Fahrrad,550,07.06.2023,0,07.06.2023,10,2100103
208,Herrenfahrrad,1400,02.06.2023,10,02.06.2023,14,11100205
209,Herrenfahrrad,1488,05.06.2023,21,06.06.2023,7,8100416
210,Fahrrad,0,04.06.2023,14,04.06.2023,23,3601142
211,Herrenfahrrad,2600,05.06.2023,9,05.06.2023,11,3400724
212,Herrenfahrrad,500,06.06.2023,11,06.06.2023,11,12200413
213,Fahrrad,0,03.06.2023,22,05.06.2023,9,9100101
214,Damenfahrrad,1499,05.06.2023,7,06.06.2023,7,4300414
215,Herrenfahrrad,2845,04.06.2023,20,06.06.2023,7,12601134
216,Herrenfahrrad,599,05.06.2023,16,05.06.2023,18,8200831
217,Herrenfahrrad,900,05.06.2023,17,06.06.2023,5,1300834
218,Damenfahrrad,1607,06.06.2023,7,06.06.2023,17,11501341
219,Kinderfahrrad,450,05.06.2023,19,06.06.2023,13,7100101
220,Damenfahrrad,449,23.05.2023,17,25.05.2023,7,6100209
221,Fahrrad,550,04.06.2023,16,05.06.2023,7,2200208
222,Mountainbike,300,05.06.2023,17,06.06.2023,7,1401043
223,Herrenfahrrad,370,06.06.2023,10,06.06.2023,17,1400942
224,Herrenfahrrad,500,01.06.2023,18,02.06.2023,6,9200613
225,Herrenfahrrad,2699,06.06.2023,8,06.06.2023,17,9501939
226,Mountainbike,720,06.06.2023,15,06.06.2023,16,3400723
227,Fahrrad,500,06.06.2023,13,06.06.2023,20,3601347
228,Kinderfahrrad,215,30.05.2023,18,31.05.2023,8,2300417
229,Herrenfahrrad,600,06.06.2023,17,06.06.2023,20,12400720
230,Herrenfahrrad,500,06.06.2023,3,06.06.2023,3,6200316
231,Herrenfahrrad,1999,05.06.2023,12,05.06.2023,17,1100308
232,Herrenfahrrad,760,04.06.2023,22,06.06.2023,4,10100208
233,Mountainbike,100,06.06.2023,6,06.06.2023,6,3601142
234,Kinderfahrrad,728,05.06.2023,18,05.06.2023,19,2400522
235,Herrenfahrrad,300,06.06.2023,8,06.06.2023,15,2500833
236,Damenfahrrad,738,06.06.2023,5,06.06.2023,14,8401139
237,Herrenfahrrad,591,01.06.2023,18,01.06.2023,18,12500824
238,Herrenfahrrad,750,26.05.2023,18,27.05.2023,4,9501939
239,Herrenfahrrad,600,25.05.2023,23,26.05.2023,9,1100309
240,Herrenfahrrad,449,05.06.2023,4,05.06.2023,15,8300935
241,Damenfahrrad,0,06.06.2023,13,06.06.2023,13,8100416
242,Herrenfahrrad,1800,06.06.2023,17,06.06.2023,17,3601453
243,Herrenfahrrad,650,06.06.2023,12,06.06.2023,19,1100308
244,Herrenfahrrad,388,05.06.2023,16,05.06.2023,22,9200512
245,diverse Fahrräder,6168,05.06.2023,21,06.06.2023,6,6200315
246,Herrenfahrrad,310,05.06.2023,21,06.06.2023,7,1401043
247,Herrenfahrrad,1250,02.06.2023,18,04.06.2023,19,1401047
248,Herrenfahrrad,909,05.06.2023,5,05.06.2023,17,10200629
249,Kinderfahrrad,300,05.06.2023,15,05.06.2023,18,3400724
250,Herrenfahrrad,1450,03.06.2023,18,04.06.2023,1,7601544
251,diverse Fahrräder,1200,05.06.2023,18,06.06.2023,11,7200307
252,Herrenfahrrad,1817,31.05.2023,11,31.05.2023,19,3400830
253,Herrenfahrrad,1399,05.06.2023,9,05.06.2023,18,6400840
254,Fahrrad,600,01.06.2023,16,03.06.2023,9,4300621
255,Rennrad,100,06.06.2023,12,06.06.2023,15,10100209
256,Herrenfahrrad,950,06.06.2023,17,06.06.2023,21,7400927
257,Fahrrad,1600,05.06.2023,23,06.06.2023,11,6100205
258,Damenfahrrad,1182,04.06.2023,15,04.06.2023,18,1100206
259,Kinderfahrrad,370,05.06.2023,17,06.06.2023,7,2400520
260,Damenfahrrad,488,05.06.2023,6,06.06.2023,6,7200308
261,Damenfahrrad,749,01.06.2023,20,02.06.2023,4,10200524
262,Kinderfahrrad,299,30.05.2023,16,31.05.2023,7,7501134
263,Mountainbike,560,06.06.2023,11,06.06.2023,17,2300314
264,Herrenfahrrad,350,06.06.2023,10,06.06.2023,15,2500833
265,Damenfahrrad,500,06.06.2023,15,06.06.2023,17,8100314
266,Herrenfahrrad,2000,28.05.2023,17,28.05.2023,17,1401048
267,Damenfahrrad,679,06.06.2023,8,06.06.2023,16,4501041
268,Fahrrad,3199,03.06.2023,19,04.06.2023,8,11401033
269,Damenfahrrad,650,05.06.2023,8,05.06.2023,17,3601451
270,Fahrrad,450,02.06.2023,19,02.06.2023,19,9501838
271,Fahrrad,499,06.06.2023,2,06.06.2023,2,10200629
272,Herrenfahrrad,330,02.06.2023,18,04.06.2023,15,6100103
273,Damenfahrrad,600,05.06.2023,15,06.06.2023,8,3500933
274,Herrenfahrrad,777,06.06.2023,9,06.06.2023,17,2100102
275,Herrenfahrrad,799,06.06.2023,9,06.06.2023,18,7100101
276,Damenfahrrad,676,06.06.2023,15,06.06.2023,17,7400927
277,Damenfahrrad,740,02.06.2023,20,03.06.2023,10,8100415
278,Herrenfahrrad,6000,29.05.2023,16,29.05.2023,17,1400937
279,Fahrrad,2990,05.06.2023,19,06.06.2023,13,2400623
280,Kinderfahrrad,599,06.06.2023,10,06.06.2023,14,12500927
281,Rennrad,2500,06.06.2023,15,06.06.2023,15,1300836
282,Damenfahrrad,430,05.06.2023,18,06.06.2023,7,9100101
283,Herrenfahrrad,1000,06.06.2023,9,06.06.2023,11,11400928
284,diverse Fahrräder,1000,30.04.2023,16,30.04.2023,16,1200520
285,Herrenfahrrad,759,06.06.2023,11,06.06.2023,12,2200211
286,Fahrrad,988,04.06.2023,10,04.06.2023,12,4400833
287,Damenfahrrad,1106,06.06.2023,8,06.06.2023,18,11400931
288,Damenfahrrad,330,23.05.2023,20,24.05.2023,6,6300630
289,Herrenfahrrad,616,06.06.2023,8,06.06.2023,15,9501838
290,Herrenfahrrad,4300,05.06.2023,17,06.06.2023,18,1100311
291,Herrenfahrrad,31,06.06.2023,17,06.06.2023,17,8100311
292,Herrenfahrrad,1000,06.06.2023,19,06.06.2023,21,8300934
293,Damenfahrrad,1049,03.06.2023,10,04.06.2023,15,4501045
294,Herrenfahrrad,540,03.06.2023,19,04.06.2023,12,11300725
295,Damenfahrrad,1000,04.06.2023,19,05.06.2023,6,1400942
296,diverse Fahrräder,1740,05.06.2023,9,05.06.2023,9,3601245
297,Damenfahrrad,450,03.06.2023,7,03.06.2023,18,9502043
298,Herrenfahrrad,1122,03.06.2023,19,03.06.2023,23,2300315
299,Kinderfahrrad,264,03.06.2023,19,05.06.2023,7,7100103
300,Herrenfahrrad,75,28.05.2023,16,28.05.2023,18,10200423
301,Herrenfahrrad,582,04.06.2023,8,04.06.2023,18,12500825
302,Herrenfahrrad,300,04.06.2023,21,05.06.2023,11,10100209
303,Damenfahrrad,333,05.06.2023,17,05.06.2023,19,4300619
304,Mountainbike,50,05.06.2023,14,05.06.2023,14,9300923
305,Herrenfahrrad,660,03.06.2023,18,04.06.2023,22,1200519
306,Fahrrad,420,05.06.2023,7,05.06.2023,7,6400840
307,Fahrrad,899,04.06.2023,21,05.06.2023,7,9200511
308,Herrenfahrrad,399,04.06.2023,21,05.06.2023,6,3601245
309,Fahrrad,750,04.06.2023,11,04.06.2023,17,11401034
310,Damenfahrrad,1374,02.06.2023,13,04.06.2023,21,3601453
311,Herrenfahrrad,1400,31.05.2023,14,02.06.2023,15,3300516
312,Fahrrad,1070,21.05.2023,21,22.05.2023,13,8100416
313,Damenfahrrad,170,29.05.2023,18,29.05.2023,19,9100101
314,Kinderfahrrad,0,02.06.2023,7,02.06.2023,17,4500936
315,Mountainbike,479,26.05.2023,8,26.05.2023,11,4400835
316,Herrenfahrrad,60,03.06.2023,20,04.06.2023,12,1401044
317,Herrenfahrrad,834,04.06.2023,20,05.06.2023,12,6400840
318,diverse Fahrräder,4000,02.06.2023,17,05.06.2023,9,9100203
319,Herrenfahrrad,1298,05.06.2023,11,05.06.2023,18,2400522
320,Herrenfahrrad,370,03.06.2023,18,05.06.2023,7,1400942
321,Damenfahrrad,580,03.06.2023,13,04.06.2023,10,1100415
322,Damenfahrrad,550,05.06.2023,9,05.06.2023,11,6200421
323,Damenfahrrad,170,04.06.2023,20,05.06.2023,13,1100416
324,Herrenfahrrad,1100,04.06.2023,17,05.06.2023,12,3400826
325,Herrenfahrrad,200,02.06.2023,14,02.06.2023,17,7100204
326,Herrenfahrrad,9200,04.06.2023,16,04.06.2023,19,3601453
327,Herrenfahrrad,950,05.06.2023,6,05.06.2023,6,10100209
328,Damenfahrrad,1018,05.06.2023,16,05.06.2023,18,4300621
329,Damenfahrrad,950,04.06.2023,21,05.06.2023,0,8100208
330,Herrenfahrrad,695,02.06.2023,15,05.06.2023,6,11100309
331,Damenfahrrad,650,04.06.2023,17,05.06.2023,6,1401043
332,diverse Fahrräder,1780,04.06.2023,11,04.06.2023,19,3100103
333,Herrenfahrrad,1700,03.06.2023,8,03.06.2023,12,5100104
334,Lastenfahrrad,8040,04.06.2023,8,04.06.2023,8,12100102
335,Damenfahrrad,2730,03.06.2023,18,04.06.2023,1,7601546
336,Fahrrad,1200,04.06.2023,20,05.06.2023,9,2100105
337,Herrenfahrrad,788,03.06.2023,17,04.06.2023,10,3701658
338,Herrenfahrrad,300,31.05.2023,16,31.05.2023,17,7400822
339,Herrenfahrrad,300,27.05.2023,14,28.05.2023,15,9501838
340,Herrenfahrrad,799,03.06.2023,9,04.06.2023,18,12500927
341,Herrenfahrrad,1199,31.05.2023,14,01.06.2023,11,9401534
342,Damenfahrrad,600,04.06.2023,16,04.06.2023,18,8100206
343,Damenfahrrad,2629,05.06.2023,8,05.06.2023,15,9200613
344,Fahrrad,200,03.06.2023,23,05.06.2023,12,8200622
345,Herrenfahrrad,0,05.06.2023,14,05.06.2023,20,7100204
346,Herrenfahrrad,799,07.05.2023,14,08.05.2023,9,1100414
347,Fahrrad,500,04.06.2023,21,05.06.2023,7,7501135
348,Fahrrad,3174,04.06.2023,13,04.06.2023,20,10100206
349,Damenfahrrad,1899,03.06.2023,10,05.06.2023,8,9401329
350,Damenfahrrad,500,03.06.2023,18,04.06.2023,12,12400723
351,Fahrrad,400,04.06.2023,19,04.06.2023,19,12200413
352,diverse Fahrräder,2444,03.06.2023,18,04.06.2023,12,2300315
353,Herrenfahrrad,1,05.06.2023,6,05.06.2023,13,12601134
354,Herrenfahrrad,1128,03.06.2023,17,04.06.2023,8,3701657
355,Damenfahrrad,250,05.06.2023,8,05.06.2023,15,2200209
356,Herrenfahrrad,450,05.06.2023,13,05.06.2023,17,7300516
357,Herrenfahrrad,2970,04.06.2023,8,04.06.2023,13,2500836
358,Damenfahrrad,200,04.06.2023,16,04.06.2023,16,3601243
359,Fahrrad,90,03.06.2022,8,04.06.2022,9,2100103
360,Damenfahrrad,1000,02.06.2023,11,02.06.2023,18,7100204
361,Herrenfahrrad,516,03.06.2023,13,03.06.2023,13,4300621
362,Herrenfahrrad,725,03.06.2023,18,03.06.2023,21,6300526
363,Damenfahrrad,1083,03.06.2023,14,05.06.2023,13,12500824
364,Herrenfahrrad,1300,03.06.2023,21,05.06.2023,13,12601133
365,Damenfahrrad,499,03.05.2023,19,03.05.2023,23,6400842
366,Herrenfahrrad,1050,03.06.2023,12,05.06.2023,16,8100104
367,Fahrrad,2500,05.06.2023,16,05.06.2023,17,10200524
368,Herrenfahrrad,889,04.06.2023,18,05.06.2023,8,5300841
369,Herrenfahrrad,0,05.06.2023,16,05.06.2023,17,4300517
370,Herrenfahrrad,276,05.06.2023,18,05.06.2023,19,1100311
371,Fahrrad,600,04.06.2023,18,05.06.2023,7,9100101
372,Kinderfahrrad,80,01.06.2023,18,02.06.2023,9,3601140
373,Herrenfahrrad,1800,02.06.2023,17,03.06.2023,17,1100309
374,Herrenfahrrad,1000,05.06.2023,13,05.06.2023,17,5100316
375,Herrenfahrrad,1000,04.06.2023,15,05.06.2023,18,2200209
376,Damenfahrrad,220,03.06.2023,23,05.06.2023,12,8200622
377,Herrenfahrrad,3840,05.06.2023,11,05.06.2023,15,1401048
378,Damenfahrrad,485,04.06.2023,18,05.06.2023,12,1100313
379,Herrenfahrrad,587,04.06.2023,9,04.06.2023,10,2500833
380,Damenfahrrad,499,03.05.2023,19,03.05.2023,23,6400843
381,Herrenfahrrad,550,05.06.2023,19,05.06.2023,21,1100311
382,Herrenfahrrad,200,03.06.2023,18,03.06.2023,22,9502043
383,Damenfahrrad,500,21.05.2023,21,22.05.2023,13,8100416
384,Damenfahrrad,919,30.05.2023,18,31.05.2023,15,9200818
385,Herrenfahrrad,1449,03.06.2023,12,05.06.2023,12,5100315
386,Herrenfahrrad,1000,05.06.2023,1,05.06.2023,5,10200524
387,Herrenfahrrad,50,04.06.2023,17,05.06.2023,13,3400725
388,Fahrrad,1500,31.05.2023,16,02.06.2023,0,3701556
